judul,genre,year
Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995
Jumanji,Adventure|Children|Fantasy,1995
Grumpier Old Men,Comedy|Romance,1995
Waiting to Exhale,Comedy|Drama|Romance,1995
Father of the Bride Part II,Comedy,1995
Heat,Action|Crime|Thriller,1995
Sabrina,Comedy|Romance,1995
Tom and Huck,Adventure|Children,1995
Sudden Death,Action,1995
GoldenEye,Action|Adventure|Thriller,1995
"American President, The",Comedy|Drama|Romance,1995
Dracula: Dead and Loving It,Comedy|Horror,1995
Balto,Adventure|Animation|Children,1995
Nixon,Drama,1995
Cutthroat Island,Action|Adventure|Romance,1995
Casino,Crime|Drama,1995
Sense and Sensibility,Drama|Romance,1995
Four Rooms,Comedy,1995
Ace Ventura: When Nature Calls,Comedy,1995
Money Train,Action|Comedy|Crime|Drama|Thriller,1995
Get Shorty,Comedy|Crime|Thriller,1995
Copycat,Crime|Drama|Horror|Mystery|Thriller,1995
Assassins,Action|Crime|Thriller,1995
Powder,Drama|Sci-Fi,1995
Leaving Las Vegas,Drama|Romance,1995
Othello,Drama,1995
Now and Then,Children|Drama,1995
Persuasion,Drama|Romance,1995
"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995
Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995
Dangerous Minds,Drama,1995
Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995
Babe,Children|Drama,1995
Dead Man Walking,Crime|Drama,1995
It Takes Two,Children|Comedy,1995
Clueless,Comedy|Romance,1995
"Cry, the Beloved Country",Drama,1995
Richard III,Drama|War,1995
Dead Presidents,Action|Crime|Drama,1995
Restoration,Drama,1995
Mortal Kombat,Action|Adventure|Fantasy,1995
To Die For,Comedy|Drama|Thriller,1995
How to Make an American Quilt,Drama|Romance,1995
Seven (a.k.a. Se7en),Mystery|Thriller,1995
Pocahontas,Animation|Children|Drama|Musical|Romance,1995
When Night Is Falling,Drama|Romance,1995
"Usual Suspects, The",Crime|Mystery|Thriller,1995
Mighty Aphrodite,Comedy|Drama|Romance,1995
Lamerica,Adventure|Drama,1994
"Big Green, The",Children|Comedy,1995
Georgia,Drama,1995
Home for the Holidays,Drama,1995
"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994
"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995
Eye for an Eye,Drama|Thriller,1996
Mr. Holland's Opus,Drama,1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996
Two if by Sea,Comedy|Romance,1996
Bio-Dome,Comedy,1996
Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996
French Twist (Gazon maudit),Comedy|Romance,1995
Friday,Comedy,1995
From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996
Fair Game,Action,1995
Kicking and Screaming,Comedy|Drama,1995
"Misérables, Les",Drama|War,1995
Bed of Roses,Drama|Romance,1996
Big Bully,Comedy|Drama,1996
Screamers,Action|Sci-Fi|Thriller,1995
Nico Icon,Documentary,1995
"Crossing Guard, The",Action|Crime|Drama|Thriller,1995
"Juror, The",Drama|Thriller,1996
"White Balloon, The (Badkonake sefid)",Children|Drama,1995
Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995
Antonia's Line (Antonia),Comedy|Drama,1995
Once Upon a Time... When We Were Colored,Drama|Romance,1995
Angels and Insects,Drama|Romance,1995
White Squall,Action|Adventure|Drama,1996
Dunston Checks In,Children|Comedy,1996
Black Sheep,Comedy,1996
Nick of Time,Action|Thriller,1995
Mary Reilly,Drama|Horror|Thriller,1996
Vampire in Brooklyn,Comedy|Horror|Romance,1995
Beautiful Girls,Comedy|Drama|Romance,1996
Broken Arrow,Action|Adventure|Thriller,1996
In the Bleak Midwinter,Comedy|Drama,1995
"Hate (Haine, La)",Crime|Drama,1995
Heidi Fleiss: Hollywood Madam,Documentary,1995
City Hall,Drama|Thriller,1996
Bottle Rocket,Adventure|Comedy|Crime|Romance,1996
Mr. Wrong,Comedy,1996
Unforgettable,Mystery|Sci-Fi|Thriller,1996
Happy Gilmore,Comedy,1996
"Bridges of Madison County, The",Drama|Romance,1995
Nobody Loves Me (Keiner liebt mich),Comedy|Drama,1994
Muppet Treasure Island,Adventure|Children|Comedy|Musical,1996
Catwalk,Documentary,1996
Braveheart,Action|Drama|War,1995
Taxi Driver,Crime|Drama|Thriller,1976
Rumble in the Bronx (Hont faan kui),Action|Adventure|Comedy|Crime,1995
Before and After,Drama|Mystery,1996
Anne Frank Remembered,Documentary,1995
"Young Poisoner's Handbook, The",Crime|Drama,1995
If Lucy Fell,Comedy|Romance,1996
"Steal Big, Steal Little",Comedy,1995
"Boys of St. Vincent, The",Drama,1992
